# telescope   = tel13
# season      = 2014-2019
# filter      = RG715
# aperture    = 8.485                pix
# deblend     = 1
# gliese      = 1132
# lhs         = 281
# nltt        = 23819
# twomass     = 10145184-4709244
# ra          = 10:14:51.770         hr
# dec         = -47:09:24.10         deg
# pmra        = -1.04648201531881    arcsec/yr
# pmdec       = 0.416445772717513    arcsec/yr
# aflag       = R 
# plx         = 0.0792543382307208   arcsec
# e_plx       = 4.37672245690568e-05 arcsec
# r_plx       = 2018A&A...616A...1G
# distmod     = 0.504884780055967    mag
# s_distmod   = T
# bjmag       = 13.95                mag
# rfmag       = 11.93                mag
# inmag       = 9.57                 mag
# jmag        = 9.245                mag
# e_jmag      = 0.026                mag
# q_jmag      = A
# hmag        = 8.666                mag
# e_hmag      = 0.031                mag
# q_hmag      = A
# kmag        = 8.322                mag
# e_kmag      = 0.027                mag
# q_kmag      = A
# vest        = 13.49                mag
# s_vest      = R
# vmjest      = 4.245                mag
# vmag        = 13.49                mag
# rcmag       = 12.26                mag
# icmag       = 10.69                mag
# r_vrimag    = 2005AJ....129.1954J
# spectype    = M3.5
# r_spectype  = 1996AJ....112.2799H
# mass        = 0.193767437731184    Msol
# radius      = 0.214841130737437    Rsol
# null_dc[1]  = 0.000092             mag
# null_dc[2]  = 0.000305             mag
# null_dc[3]  = 0.001318             mag
# null_dc[4]  = 0.001996             mag
# null_dc[5]  = -0.000529            mag
# null_dc[6]  = -0.000429            mag
# null_dc[7]  = -0.000696            mag
# null_dc[8]  = -0.001825            mag
# null_dc[9]  = 0.001943             mag
# null_dc[10] = 0.000993             mag
# null_dc[11] = 0.000710             mag
# null_cm     = 0.699190             mag/mag
# null_fwhm_k = 0.000395             mag/pix
# null_fwhm_0 = 2.639000             pix
# null_chidof = 3.767
# null_nfit   = 22489
# null_nparm  = 13
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2456685.561147   -0.001053    0.003385  18.023  0.0201  2.848 0.069 1.96720  1024.089  1023.906   -0.00    59.60 15730  1  1 0 0 -0.000772   -0.000687
2456685.561667    0.007418    0.003383  18.023  0.0195  3.028 0.074 1.96004  1025.895  1027.595   -0.01    58.13 14624  1  1 0 0 -0.000796    0.007729
2456685.582679    0.010228    0.002890  18.023  0.0123  2.600 0.062 1.71268  1023.691  1023.611    0.01    49.46 17084  1  1 0 0  0.000073    0.010101
2456685.583190    0.003652    0.002871  18.023  0.0142  2.693 0.064 1.70757  1023.374  1022.078    0.00    50.17 14948  1  1 0 0  0.000087    0.003478
2456685.608584    0.002522    0.002523  18.023  0.0060  2.614 0.058 1.49356  1023.302  1023.288    0.01    46.57 15579  1  1 0 0  0.000842    0.001851
2456685.609097    0.007133    0.002520  18.023  0.0019  2.768 0.038 1.48995  1023.277  1023.176    0.02    49.96 14378  1  1 0 0  0.000874    0.006380
2456685.623730    0.008032    0.002390  18.023  0.0016  2.824 0.039 1.39642  1023.640  1023.077    0.02    44.14 14889  1  1 0 0  0.001731    0.006657
2456685.624244    0.016077    0.002384  18.023 -0.0053  2.923 0.044 1.39345  1024.580  1025.421    0.02    51.52 12327  1  1 0 0  0.001726    0.014667
2456685.636492    0.011393    0.002277  18.023 -0.0131  2.825 0.053 1.32812  1022.910  1023.596    0.02    54.97 14893  1  1 0 0  0.001603    0.010107
2456685.637003    0.013269    0.002294  18.023 -0.0006  2.895 0.074 1.32561  1022.851  1023.440    0.02    54.33 14254  1  1 0 0  0.001598    0.011959
2456685.650210    0.005817    0.002217  18.023 -0.0175  2.720 0.058 1.26617  1023.143  1024.256    0.02    47.19 16555  1  1 0 0  0.001488    0.004653
2456685.650724    0.002481    0.002190  18.023 -0.0115  2.700 0.060 1.26406  1023.307  1023.020    0.03    47.29 16115  1  1 0 0  0.001485    0.001328
2456685.664920    0.010067    0.002151  18.023 -0.0154  2.908 0.045 1.21093  1024.036  1022.095    0.03    53.07 14751  1  1 0 0  0.001555    0.008782
2456685.665429    0.007828    0.002153  18.023 -0.0123  3.054 0.044 1.20921  1023.294  1022.654    0.03    52.51 11366  1  1 0 0  0.001593    0.006459
2456685.679848    0.009944    0.002094  18.023 -0.0218  2.762 0.065 1.16499  1023.570  1024.051    0.04    48.65 14751  1  1 0 0  0.002667    0.007939
2456685.680357    0.007874    0.002066  18.023 -0.0182  2.589 0.043 1.16358  1023.675  1023.653    0.03    45.51 17352  1  1 0 0  0.002705    0.005911
2456685.694750    0.008017    0.002039  18.023 -0.0170  2.549 0.046 1.12791  1023.673  1024.046    0.04    49.02 19448  1  1 0 0  0.002479    0.006227
2456685.695264    0.009990    0.002047  18.023 -0.0169  2.398 0.039 1.12678  1023.753  1023.315    0.04    48.99 20151  1  1 0 0  0.002461    0.008272
2456685.712251    0.006655    0.002001  18.023 -0.0160  2.516 0.036 1.09419  1023.752  1022.811    0.04    51.26 19337  1  1 0 0  0.002384    0.004945
2456685.712761    0.007373    0.002012  18.023 -0.0260  2.470 0.040 1.09336  1023.811  1023.189    0.05    49.49 20169  1  1 0 0  0.002393    0.005675
2456685.726424    0.007895    0.001944  18.023 -0.0137  2.896 0.063 1.07386  1022.999  1023.745    0.05    39.06 13980  1  1 0 0  0.002454    0.005987
2456685.726930    0.004848    0.001947  18.023 -0.0096  2.219 0.051 1.07325  1024.196  1022.385    0.05    38.10 21822  1  1 0 0  0.002435    0.003220
2456685.740899    0.011418    0.001963  18.023 -0.0134  2.545 0.051 1.05901  1024.432  1023.465    0.05    49.47 15765  1  1 0 0  0.001904    0.010033
2456685.741416    0.009692    0.001960  18.023 -0.0143  2.461 0.054 1.05859  1024.167  1023.293    0.04    49.56 20761  1  1 0 0  0.001884    0.008353
2456685.756116    0.008296    0.001939  18.023 -0.0080  2.178 0.049 1.04947  1023.615  1025.353    0.05    43.58 22780  1  1 0 0  0.002421    0.006694
2456685.756626    0.005550    0.001922  18.023 -0.0077  2.500 0.076 1.04925  1024.319  1024.296    0.05    44.06 18795  1  1 0 0  0.002443    0.003805
2456685.773378    0.013032    0.001913  18.023 -0.0112  3.381 0.078 1.04589  1030.745  1027.610  179.94    40.61 11514  2  1 0 0  0.003220    0.010182
2456685.773893    0.005631    0.001922  18.023 -0.0134  2.537 0.116 1.04590  1023.607  1027.540  179.94    41.01 18729  2  1 0 0  0.003245    0.003098
2456686.559071    0.000320    0.003383  18.023  0.0194  2.948 0.053 1.95886  1024.064  1024.741   -0.00    63.31 14709  1  1 0 0 -0.000067    0.000154
2456686.559587    0.019246    0.003416  18.023  0.0162  2.985 0.065 1.95182  1023.550  1024.015   -0.00    64.02 13709  1  1 0 0 -0.000054    0.019056
2456686.575975    0.007603    0.003004  18.023  0.0059  2.849 0.061 1.75434  1023.407  1022.947    0.01    62.65 14108  1  1 0 0 -0.000638    0.007874
2456686.576488    0.004303    0.003019  18.023  0.0103  2.944 0.075 1.74889  1023.582  1023.727    0.00    62.97 13710  1  1 0 0 -0.000664    0.004555
2456686.594938    0.009342    0.002727  18.023 -0.0016  2.997 0.065 1.57700  1023.393  1023.726    0.02    61.12 12915  1  1 0 0 -0.000086    0.009169
2456686.595453   -0.006262    0.002701  18.023 -0.0060  3.072 0.055 1.57280  1023.568  1024.671    0.01    61.03 13078  1  1 0 0 -0.000047   -0.006491
2456686.614071    0.006645    0.002472  18.023 -0.0039  3.045 0.064 1.43881  1023.302  1023.117    0.02    47.92 13737  1  1 0 0  0.001444    0.005384
2456686.614586    0.006663    0.002473  18.023 -0.0058  3.171 0.062 1.43555  1023.275  1023.808    0.02    49.55 11991  1  1 0 0  0.001487    0.005322
2456686.630131    0.009535    0.002355  18.023 -0.0326  2.808 0.065 1.34668  1022.913  1024.814    0.02    41.15 16725  1  1 0 0  0.002347    0.007736
2456686.630647    0.006708    0.002327  18.023 -0.0304  2.727 0.058 1.34403  1024.552  1023.168    0.02    43.79 16303  1  1 0 0  0.002359    0.004933
2456686.643916    0.016202    0.002239  18.023 -0.0362  2.651 0.079 1.28144  1023.137  1024.175    0.03    35.12 17708  1  1 0 0  0.002705    0.014214
2456686.644426    0.005244    0.002239  18.023 -0.0362  2.554 0.088 1.27924  1023.388  1023.657    0.03    36.87 16995  1  1 0 0  0.002738    0.003272
2456686.666312    0.012516    0.002131  18.023 -0.0297  2.554 0.059 1.19745  1024.652  1023.362    0.02    40.13 18056  1  1 0 0  0.003859    0.009760
2456686.666823    0.002650    0.002118  18.023 -0.0330  2.392 0.069 1.19581  1024.554  1023.832    0.02    40.53 21428  1  1 0 0  0.003851   -0.000036
2456686.682353    0.011978    0.002083  18.023 -0.0303  2.667 0.052 1.15115  1024.676  1023.637    0.03    37.77 14231  1  1 0 0  0.003618    0.009346
2456686.682870    0.006367    0.002048  18.023 -0.0315  2.420 0.048 1.14983  1024.564  1022.814    0.03    38.05 20653  1  1 0 0  0.003610    0.003837
2456686.698560    0.011956    0.002032  18.023 -0.0261  2.431 0.082 1.11424  1022.952  1022.604    0.04    32.66 21914  1  1 0 0  0.003641    0.009401
2456686.699076    0.005309    0.002008  18.023 -0.0258  2.235 0.061 1.11321  1023.132  1022.866    0.04    39.18 24211  1  1 0 0  0.003642    0.002830
2456686.717366    0.011081    0.001986  18.023 -0.0332  2.453 0.052 1.08228  1022.941  1023.058    0.04    29.02 21977  1  1 0 0  0.003520    0.008602
2456686.717879    0.014272    0.001988  18.023 -0.0307  2.488 0.052 1.08156  1023.045  1022.182    0.04    28.92 22271  1  1 0 0  0.003515    0.011782
2456686.734387    0.008734    0.001956  18.023 -0.0333  2.461 0.063 1.06238  1024.125  1023.790    0.04    28.97 22121  1  1 0 0  0.004372    0.005655
2456686.734905    0.007091    0.001976  18.023 -0.0361  2.340 0.067 1.06190  1024.091  1023.734    0.05    28.42 22480  1  1 0 0  0.004413    0.004031
2456686.748550    0.008225    0.001947  18.023 -0.0379  2.266 0.065 1.05187  1023.634  1024.044    0.05    25.22 25061  1  1 0 0  0.004986    0.004795
2456686.749061    0.003723    0.001974  18.023 -0.0378  2.368 0.072 1.05159  1024.154  1023.067    0.05    23.55 23388  1  1 0 0  0.004981    0.000256
2456686.765793    0.004364    0.001941  18.023 -0.0357  2.508 0.066 1.04613  1023.788  1023.049    0.06    26.32 21187  1  1 0 0  0.004695    0.001042
2456686.766302    0.005396    0.001943  18.023 -0.0319  2.372 0.061 1.04608  1023.985  1022.276    0.06    26.78 24200  1  1 0 0  0.004668    0.002146
2456686.783481    0.012903    0.001937  18.023 -0.0326  2.265 0.066 1.04813  1021.704  1022.741  179.96    34.36 22404  2  1 0 0  0.003820    0.010075
2456686.783991    0.010042    0.001945  18.023 -0.0342  2.367 0.095 1.04830  1022.112  1023.584  179.96    33.20 20558  2  1 0 0  0.003855    0.007149
